call_id,agent_id,org_id,installment_id,status,duration,created_ts,call_date,users_first_name,users_last_name,users_office_location,login_time,total_call_made,unique_loan,complete_call_count,complete_rate,average_call,is_present
C1241,A018,O1,L1992,completed,13.65,2025-04-28T08:04:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,6.0,0.17647058823529413,7.7,0
C7658,A006,O1,L1497,no_answer,3.96,2025-04-28T07:17:00,2025-04-28,Meera,Bhatia,Chennai,11:29:00,16,16,,0.0,8.8,1
C1960,A013,O1,L1168,no_answer,9.97,2025-04-28T00:04:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C5345,A013,O1,L1948,no_answer,4.74,2025-04-28T09:44:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C8973,A014,O3,L1158,connected,7.85,2025-04-28T10:07:00,2025-04-28,Pooja,Menon,Mumbai,11:05:00,29,29,,0.0,7.5,1
C1958,A007,O1,L1593,completed,8.25,2025-04-28T10:42:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,5.0,0.20833333333333334,7.0,1
C1821,A002,O1,L1598,no_answer,2.85,2025-04-28T17:09:00,2025-04-28,Diya,Kapoor,Delhi,10:05:00,22,22,,0.0,8.2,1
C3579,A017,O2,L1058,completed,14.55,2025-04-28T06:20:00,2025-04-28,Aditya,Rao,Mumbai,08:57:00,20,19,2.0,0.1,6.7,1
C2113,A003,O1,L1691,connected,11.65,2025-04-28T13:46:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,,0.0,7.2,1
C5033,A004,O3,L1592,completed,14.1,2025-04-28T21:08:00,2025-04-28,Anika,Sharma,Bangalore,08:13:00,27,27,4.0,0.14814814814814814,8.1,1
C7868,A003,O1,L1673,failed,13.43,2025-04-28T08:54:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,,0.0,7.2,1
C6147,A007,O1,L1244,failed,9.01,2025-04-28T13:30:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,,0.0,7.0,1
C5915,A005,O3,L1468,failed,13.84,2025-04-28T02:28:00,2025-04-28,Kunal,Joshi,Bangalore,,28,27,,0.0,7.2,0
C8508,A001,O1,L1636,completed,1.42,2025-04-28T02:30:00,2025-04-28,Ayaan,Mehra,Bangalore,11:58:00,20,20,2.0,0.1,6.8,1
C4492,A018,O1,L1518,failed,3.02,2025-04-28T04:31:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,,0.0,7.7,0
C2127,A012,O3,L1900,connected,0.77,2025-04-28T12:36:00,2025-04-28,Ishita,Nair,Chennai,,20,20,,0.0,7.1,0
C3584,A010,O3,L1448,failed,4.95,2025-04-28T20:52:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,,0.0,8.1,1
C1128,A017,O2,L1683,failed,5.89,2025-04-28T22:38:00,2025-04-28,Aditya,Rao,Mumbai,08:57:00,20,19,,0.0,6.7,1
C3200,A004,O3,L1270,completed,4.14,2025-04-28T03:39:00,2025-04-28,Anika,Sharma,Bangalore,08:13:00,27,27,4.0,0.14814814814814814,8.1,1
C3546,A018,O1,L1278,failed,12.45,2025-04-28T20:38:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,,0.0,7.7,0
C6617,A007,O1,L1208,failed,5.42,2025-04-28T17:15:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,,0.0,7.0,1
C5114,A016,O1,L1927,completed,4.29,2025-04-28T03:09:00,2025-04-28,Kriti,Das,Delhi,09:05:00,19,19,6.0,0.3157894736842105,8.6,1
C5533,A014,O3,L1045,completed,8.19,2025-04-28T11:23:00,2025-04-28,Pooja,Menon,Mumbai,11:05:00,29,29,10.0,0.3448275862068966,7.5,1
C5291,A005,O3,L1165,no_answer,2.2,2025-04-28T18:49:00,2025-04-28,Kunal,Joshi,Bangalore,,28,27,,0.0,7.2,0
C1158,A014,O3,L1114,completed,12.05,2025-04-28T23:35:00,2025-04-28,Pooja,Menon,Mumbai,11:05:00,29,29,10.0,0.3448275862068966,7.5,1
C9938,A005,O3,L1036,failed,1.21,2025-04-28T19:52:00,2025-04-28,Kunal,Joshi,Bangalore,,28,27,,0.0,7.2,0
C3426,A018,O1,L1440,connected,14.8,2025-04-28T01:25:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,,0.0,7.7,0
C6974,A010,O3,L1920,completed,11.61,2025-04-28T12:12:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,7.0,0.18421052631578946,8.1,1
C5088,A007,O1,L1682,completed,3.06,2025-04-28T12:04:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,5.0,0.20833333333333334,7.0,1
C3900,A006,O1,L1902,no_answer,12.25,2025-04-28T00:50:00,2025-04-28,Meera,Bhatia,Chennai,11:29:00,16,16,,0.0,8.8,1
C6442,A006,O1,L1801,no_answer,10.63,2025-04-28T22:51:00,2025-04-28,Meera,Bhatia,Chennai,11:29:00,16,16,,0.0,8.8,1
C8711,A002,O1,L1227,connected,11.59,2025-04-28T15:42:00,2025-04-28,Diya,Kapoor,Delhi,10:05:00,22,22,,0.0,8.2,1
C6000,A012,O3,L1840,connected,1.2,2025-04-28T07:36:00,2025-04-28,Ishita,Nair,Chennai,,20,20,,0.0,7.1,0
C4164,A001,O1,L1408,failed,5.44,2025-04-28T09:30:00,2025-04-28,Ayaan,Mehra,Bangalore,11:58:00,20,20,,0.0,6.8,1
C5573,A003,O1,L1359,no_answer,1.83,2025-04-28T23:11:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,,0.0,7.2,1
C6425,A018,O1,L1961,completed,12.96,2025-04-28T03:56:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,6.0,0.17647058823529413,7.7,0
C3925,A009,O3,L1594,failed,9.39,2025-04-28T01:18:00,2025-04-28,Kabir,Malhotra,Bangalore,11:46:00,26,25,,0.0,7.4,1
C8119,A004,O3,L1353,failed,5.03,2025-04-28T14:53:00,2025-04-28,Anika,Sharma,Bangalore,08:13:00,27,27,,0.0,8.1,1
C9379,A020,O2,L1118,no_answer,1.05,2025-04-28T19:40:00,2025-04-28,Sneha,Kulkarni,Delhi,09:50:00,21,21,,0.0,6.6,1
C5173,A007,O1,L1045,no_answer,4.73,2025-04-28T00:03:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,,0.0,7.0,1
C9821,A017,O2,L1703,connected,4.95,2025-04-28T12:25:00,2025-04-28,Aditya,Rao,Mumbai,08:57:00,20,19,,0.0,6.7,1
C2146,A014,O3,L1971,failed,10.97,2025-04-28T21:16:00,2025-04-28,Pooja,Menon,Mumbai,11:05:00,29,29,,0.0,7.5,1
C3041,A011,O1,L1737,failed,9.6,2025-04-28T17:18:00,2025-04-28,Tanishq,Singh,Chennai,11:08:00,22,22,,0.0,9.1,1
C7691,A010,O3,L1334,no_answer,13.32,2025-04-28T23:47:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,,0.0,8.1,1
C3085,A010,O3,L1196,no_answer,7.14,2025-04-28T22:41:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,,0.0,8.1,1
C3851,A013,O1,L1630,failed,1.88,2025-04-28T13:51:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C1006,A018,O1,L1311,failed,10.73,2025-04-28T07:10:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,,0.0,7.7,0
C6279,A014,O3,L1476,no_answer,11.44,2025-04-28T15:05:00,2025-04-28,Pooja,Menon,Mumbai,11:05:00,29,29,,0.0,7.5,1
C9375,A007,O1,L1484,connected,8.46,2025-04-28T22:29:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,,0.0,7.0,1
C5649,A003,O1,L1527,failed,11.59,2025-04-28T03:11:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,,0.0,7.2,1
C6085,A008,O1,L1230,connected,7.46,2025-04-28T05:01:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,,0.0,6.2,1
C1757,A001,O1,L1250,no_answer,7.89,2025-04-28T20:51:00,2025-04-28,Ayaan,Mehra,Bangalore,11:58:00,20,20,,0.0,6.8,1
C8461,A003,O1,L1424,connected,6.47,2025-04-28T23:46:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,,0.0,7.2,1
C9099,A013,O1,L1409,connected,0.48,2025-04-28T05:02:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C2746,A001,O1,L1797,no_answer,1.71,2025-04-28T07:28:00,2025-04-28,Ayaan,Mehra,Bangalore,11:58:00,20,20,,0.0,6.8,1
C9486,A006,O1,L1475,completed,0.57,2025-04-28T19:01:00,2025-04-28,Meera,Bhatia,Chennai,11:29:00,16,16,2.0,0.125,8.8,1
C2988,A008,O1,L1467,connected,9.58,2025-04-28T15:51:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,,0.0,6.2,1
C6198,A017,O2,L1972,no_answer,4.78,2025-04-28T20:54:00,2025-04-28,Aditya,Rao,Mumbai,08:57:00,20,19,,0.0,6.7,1
C7991,A017,O2,L1850,no_answer,7.68,2025-04-28T05:25:00,2025-04-28,Aditya,Rao,Mumbai,08:57:00,20,19,,0.0,6.7,1
C8373,A016,O1,L1265,connected,13.62,2025-04-28T21:45:00,2025-04-28,Kriti,Das,Delhi,09:05:00,19,19,,0.0,8.6,1
C9540,A009,O3,L1496,connected,3.81,2025-04-28T09:22:00,2025-04-28,Kabir,Malhotra,Bangalore,11:46:00,26,25,,0.0,7.4,1
C2269,A015,O2,L1730,failed,6.21,2025-04-28T08:00:00,2025-04-28,Neil,Saxena,Chennai,08:05:00,28,27,,0.0,8.5,1
C6502,A009,O3,L1327,completed,11.36,2025-04-28T04:43:00,2025-04-28,Kabir,Malhotra,Bangalore,11:46:00,26,25,7.0,0.2692307692307692,7.4,1
C4788,A005,O3,L1392,connected,3.51,2025-04-28T07:18:00,2025-04-28,Kunal,Joshi,Bangalore,,28,27,,0.0,7.2,0
C7797,A003,O1,L1417,failed,1.25,2025-04-28T18:31:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,,0.0,7.2,1
C7812,A015,O2,L1063,connected,4.42,2025-04-28T14:20:00,2025-04-28,Neil,Saxena,Chennai,08:05:00,28,27,,0.0,8.5,1
C1320,A013,O1,L1877,no_answer,2.5,2025-04-28T16:16:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C6763,A001,O1,L1305,no_answer,13.95,2025-04-28T14:18:00,2025-04-28,Ayaan,Mehra,Bangalore,11:58:00,20,20,,0.0,6.8,1
C9947,A018,O1,L1819,connected,12.14,2025-04-28T16:39:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,,0.0,7.7,0
C5471,A008,O1,L1446,no_answer,9.54,2025-04-28T00:59:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,,0.0,6.2,1
C6507,A013,O1,L1684,no_answer,13.08,2025-04-28T05:38:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C3091,A015,O2,L1637,completed,12.07,2025-04-28T13:26:00,2025-04-28,Neil,Saxena,Chennai,08:05:00,28,27,4.0,0.14285714285714285,8.5,1
C1444,A019,O1,L1085,no_answer,2.88,2025-04-28T04:37:00,2025-04-28,Arnav,Jain,Chennai,11:43:00,26,26,,0.0,7.1,1
C3977,A015,O2,L1051,failed,13.4,2025-04-28T12:56:00,2025-04-28,Neil,Saxena,Chennai,08:05:00,28,27,,0.0,8.5,1
C4467,A011,O1,L1465,failed,8.14,2025-04-28T11:31:00,2025-04-28,Tanishq,Singh,Chennai,11:08:00,22,22,,0.0,9.1,1
C5558,A013,O1,L1770,no_answer,12.13,2025-04-28T08:36:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C8705,A003,O1,L1019,completed,13.45,2025-04-28T11:56:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,8.0,0.38095238095238093,7.2,1
C2124,A008,O1,L1799,completed,4.84,2025-04-28T01:03:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,7.0,0.2692307692307692,6.2,1
C4266,A008,O1,L1859,completed,1.74,2025-04-28T21:12:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,7.0,0.2692307692307692,6.2,1
C4908,A005,O3,L1129,no_answer,3.5,2025-04-28T22:51:00,2025-04-28,Kunal,Joshi,Bangalore,,28,27,,0.0,7.2,0
C4571,A004,O3,L1476,failed,6.46,2025-04-28T12:35:00,2025-04-28,Anika,Sharma,Bangalore,08:13:00,27,27,,0.0,8.1,1
C2876,A006,O1,L1796,connected,12.29,2025-04-28T10:37:00,2025-04-28,Meera,Bhatia,Chennai,11:29:00,16,16,,0.0,8.8,1
C1420,A004,O3,L1951,failed,12.92,2025-04-28T19:39:00,2025-04-28,Anika,Sharma,Bangalore,08:13:00,27,27,,0.0,8.1,1
C7498,A013,O1,L1964,connected,0.2,2025-04-28T02:35:00,2025-04-28,Vivaan,Chatterjee,Delhi,10:01:00,22,22,,0.0,6.9,1
C4978,A019,O1,L1104,failed,7.71,2025-04-28T23:21:00,2025-04-28,Arnav,Jain,Chennai,11:43:00,26,26,,0.0,7.1,1
C2983,A020,O2,L1815,completed,6.32,2025-04-28T11:51:00,2025-04-28,Sneha,Kulkarni,Delhi,09:50:00,21,21,7.0,0.3333333333333333,6.6,1
C8018,A018,O1,L1677,failed,3.41,2025-04-28T02:21:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,,0.0,7.7,0
C6590,A017,O2,L1012,no_answer,1.89,2025-04-28T16:43:00,2025-04-28,Aditya,Rao,Mumbai,08:57:00,20,19,,0.0,6.7,1
C8102,A004,O3,L1983,failed,5.13,2025-04-28T21:41:00,2025-04-28,Anika,Sharma,Bangalore,08:13:00,27,27,,0.0,8.1,1
C3506,A015,O2,L1445,connected,14.15,2025-04-28T17:48:00,2025-04-28,Neil,Saxena,Chennai,08:05:00,28,27,,0.0,8.5,1
C9817,A009,O3,L1793,no_answer,4.92,2025-04-28T15:52:00,2025-04-28,Kabir,Malhotra,Bangalore,11:46:00,26,25,,0.0,7.4,1
C5397,A014,O3,L1330,connected,7.83,2025-04-28T02:57:00,2025-04-28,Pooja,Menon,Mumbai,11:05:00,29,29,,0.0,7.5,1
C8385,A009,O3,L1249,no_answer,10.57,2025-04-28T19:27:00,2025-04-28,Kabir,Malhotra,Bangalore,11:46:00,26,25,,0.0,7.4,1
C7209,A020,O2,L1344,completed,5.52,2025-04-28T16:52:00,2025-04-28,Sneha,Kulkarni,Delhi,09:50:00,21,21,7.0,0.3333333333333333,6.6,1
C3979,A011,O1,L1499,connected,14.58,2025-04-28T12:06:00,2025-04-28,Tanishq,Singh,Chennai,11:08:00,22,22,,0.0,9.1,1
C6576,A009,O3,L1286,failed,14.44,2025-04-28T18:58:00,2025-04-28,Kabir,Malhotra,Bangalore,11:46:00,26,25,,0.0,7.4,1
C9464,A001,O1,L1970,connected,3.85,2025-04-28T02:55:00,2025-04-28,Ayaan,Mehra,Bangalore,11:58:00,20,20,,0.0,6.8,1
C9041,A016,O1,L1458,completed,4.58,2025-04-28T03:10:00,2025-04-28,Kriti,Das,Delhi,09:05:00,19,19,6.0,0.3157894736842105,8.6,1
C4630,A010,O3,L1414,connected,4.34,2025-04-28T10:27:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,,0.0,8.1,1
C7046,A019,O1,L1484,failed,0.65,2025-04-28T14:31:00,2025-04-28,Arnav,Jain,Chennai,11:43:00,26,26,,0.0,7.1,1
C6419,A018,O1,L1360,no_answer,9.18,2025-04-28T09:14:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,,0.0,7.7,0
C5118,A010,O3,L1236,completed,7.59,2025-04-28T06:34:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,7.0,0.18421052631578946,8.1,1
C2958,A011,O1,L1760,connected,0.87,2025-04-28T06:32:00,2025-04-28,Tanishq,Singh,Chennai,11:08:00,22,22,,0.0,9.1,1
C8933,A007,O1,L1283,failed,4.25,2025-04-28T03:25:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,,0.0,7.0,1
C5853,A007,O1,L1232,failed,13.63,2025-04-28T06:07:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,,0.0,7.0,1
C1231,A010,O3,L1725,connected,3.67,2025-04-28T09:21:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,,0.0,8.1,1
C1893,A002,O1,L1566,failed,2.26,2025-04-28T23:48:00,2025-04-28,Diya,Kapoor,Delhi,10:05:00,22,22,,0.0,8.2,1
C9042,A005,O3,L1105,completed,7.39,2025-04-28T19:35:00,2025-04-28,Kunal,Joshi,Bangalore,,28,27,4.0,0.14285714285714285,7.2,0
C8690,A010,O3,L1490,no_answer,14.79,2025-04-28T11:37:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,,0.0,8.1,1
C1841,A006,O1,L1258,no_answer,3.71,2025-04-28T03:53:00,2025-04-28,Meera,Bhatia,Chennai,11:29:00,16,16,,0.0,8.8,1
C7565,A003,O1,L1503,completed,10.11,2025-04-28T19:41:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,8.0,0.38095238095238093,7.2,1
C3485,A002,O1,L1152,failed,11.45,2025-04-28T02:54:00,2025-04-28,Diya,Kapoor,Delhi,10:05:00,22,22,,0.0,8.2,1
C2940,A008,O1,L1571,no_answer,3.64,2025-04-28T20:41:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,,0.0,6.2,1
C4697,A020,O2,L1794,no_answer,10.95,2025-04-28T15:22:00,2025-04-28,Sneha,Kulkarni,Delhi,09:50:00,21,21,,0.0,6.6,1
C5871,A015,O2,L1880,no_answer,5.58,2025-04-28T10:25:00,2025-04-28,Neil,Saxena,Chennai,08:05:00,28,27,,0.0,8.5,1
C1986,A019,O1,L1624,completed,9.52,2025-04-28T07:05:00,2025-04-28,Arnav,Jain,Chennai,11:43:00,26,26,6.0,0.23076923076923078,7.1,1
C5335,A007,O1,L1676,completed,9.54,2025-04-28T05:21:00,2025-04-28,Aryan,Deshmukh,Bangalore,08:36:00,24,23,5.0,0.20833333333333334,7.0,1
C3847,A008,O1,L1565,completed,8.08,2025-04-28T05:20:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,7.0,0.2692307692307692,6.2,1
C7693,A001,O1,L1461,no_answer,1.45,2025-04-28T09:56:00,2025-04-28,Ayaan,Mehra,Bangalore,11:58:00,20,20,,0.0,6.8,1
C4792,A002,O1,L1295,failed,12.55,2025-04-28T23:59:00,2025-04-28,Diya,Kapoor,Delhi,10:05:00,22,22,,0.0,8.2,1
C2166,A015,O2,L1703,connected,4.88,2025-04-28T09:01:00,2025-04-28,Neil,Saxena,Chennai,08:05:00,28,27,,0.0,8.5,1
C4241,A019,O1,L1435,completed,2.88,2025-04-28T18:35:00,2025-04-28,Arnav,Jain,Chennai,11:43:00,26,26,6.0,0.23076923076923078,7.1,1
C3441,A008,O1,L1930,failed,0.71,2025-04-28T04:51:00,2025-04-28,Sana,Iyer,Mumbai,09:31:00,26,26,,0.0,6.2,1
C1977,A003,O1,L1169,failed,8.9,2025-04-28T20:18:00,2025-04-28,Rohan,Verma,Mumbai,10:24:00,21,21,,0.0,7.2,1
C5728,A019,O1,L1449,completed,10.2,2025-04-28T15:59:00,2025-04-28,Arnav,Jain,Chennai,11:43:00,26,26,6.0,0.23076923076923078,7.1,1
C7594,A010,O3,L1965,failed,0.35,2025-04-28T17:04:00,2025-04-28,Nisha,Reddy,Mumbai,11:11:00,38,38,,0.0,8.1,1
C9090,A018,O1,L1448,completed,7.73,2025-04-28T20:24:00,2025-04-28,Tara,Sethi,Bangalore,,34,33,6.0,0.17647058823529413,7.7,0
C8078,A002,O1,L1752,failed,3.47,2025-04-28T20:36:00,2025-04-28,Diya,Kapoor,Delhi,10:05:00,22,22,,0.0,8.2,1
C1423,A009,O3,L1093,connected,9.71,2025-04-28T23:00:00,2025-04-28,Kabir,Malhotra,Bangalore,11:46:00,26,25,,0.0,7.4,1
C1339,A019,O1,L1783,failed,2.7,2025-04-28T19:40:00,2025-04-28,Arnav,Jain,Chennai,11:43:00,26,26,,0.0,7.1,1
C3870,A002,O1,L1481,no_answer,10.39,2025-04-28T09:29:00,2025-04-28,Diya,Kapoor,Delhi,10:05:00,22,22,,0.0,8.2,1
